dataset,alg,experiment

openml__APSFailure__168868,CatBoost,gpu-expt-a
openml__APSFailure__168868,DANet,algs-gpu-2-datasets-a
openml__APSFailure__168868,DecisionTree,cpu-expt
openml__APSFailure__168868,DeepFM,algs-gpu-2-datasets-a
openml__APSFailure__168868,KNN,cpu-expt
openml__APSFailure__168868,LightGBM,cpu-expt
openml__APSFailure__168868,LinearModel,cpu-expt
openml__APSFailure__168868,MLP,gpu-expt-a
openml__APSFailure__168868,NAM,algs-gpu-2-datasets-a
openml__APSFailure__168868,NODE,algs-gpu-2-datasets-a
openml__APSFailure__168868,RandomForest,cpu-expt
openml__APSFailure__168868,SAINT,algs-gpu-2-datasets-a
openml__APSFailure__168868,STG,algs-gpu-2-datasets-a
openml__APSFailure__168868,SVM,cpu-expt
openml__APSFailure__168868,TabNet,gpu-expt-a
openml__APSFailure__168868,TabTransformer,algs-gpu-2-datasets-a
openml__APSFailure__168868,VIME,gpu-expt-a
openml__APSFailure__168868,XGBoost,gpu-expt-a
openml__APSFailure__168868,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__APSFailure__168868,rtdl_MLP,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,CatBoost,gpu-expt-a
openml__Amazon_employee_access__34539,DANet,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,DecisionTree,cpu-expt
openml__Amazon_employee_access__34539,DeepFM,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,KNN,cpu-expt
openml__Amazon_employee_access__34539,LightGBM,cpu-expt
openml__Amazon_employee_access__34539,LinearModel,cpu-expt
openml__Amazon_employee_access__34539,MLP,gpu-expt-a
openml__Amazon_employee_access__34539,NAM,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,NODE,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,RandomForest,cpu-expt
openml__Amazon_employee_access__34539,SAINT,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,STG,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,TabNet,gpu-expt-a
openml__Amazon_employee_access__34539,TabTransformer,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,VIME,gpu-expt-a
openml__Amazon_employee_access__34539,XGBoost,gpu-expt-a
openml__Amazon_employee_access__34539,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,rtdl_MLP,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,rtdl_ResNet,algs-gpu-2-datasets-a
openml__Australian__146818,CatBoost,gpu-expt-a
openml__Australian__146818,DANet,algs-gpu-2-datasets-a
openml__Australian__146818,DecisionTree,cpu-expt
openml__Australian__146818,DeepFM,algs-gpu-2-datasets-a
openml__Australian__146818,KNN,cpu-expt
openml__Australian__146818,LightGBM,cpu-expt
openml__Australian__146818,LinearModel,cpu-expt
openml__Australian__146818,MLP,gpu-expt-a
openml__Australian__146818,NAM,algs-gpu-2-datasets-a
openml__Australian__146818,NODE,algs-gpu-2-datasets-a
openml__Australian__146818,RandomForest,cpu-expt
openml__Australian__146818,STG,algs-gpu-2-datasets-a
openml__Australian__146818,SVM,cpu-expt
openml__Australian__146818,TabNet,gpu-expt-a
openml__Australian__146818,TabTransformer,algs-gpu-2-datasets-a
openml__Australian__146818,VIME,gpu-expt-a
openml__Australian__146818,XGBoost,gpu-expt-a
openml__Australian__146818,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__Australian__146818,rtdl_MLP,algs-gpu-2-datasets-a
openml__Australian__146818,rtdl_ResNet,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,CatBoost,gpu-expt-a
openml__Bank-Note-Authentication-UCI__361002,DecisionTree,cpu-expt
openml__Bank-Note-Authentication-UCI__361002,DeepFM,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,KNN,cpu-expt
openml__Bank-Note-Authentication-UCI__361002,LightGBM,cpu-expt
