,dataset_name,Tree Accuracy,Tree Accuracy (normalized),Min Accuracy,Max Accuracy
0,openml__semeion__9964,0.76,0.00,0.76,0.96
1,openml__optdigits__28,0.89,0.00,0.89,0.99
2,openml__analcatdata_authorship__3549,0.94,0.00,0.94,1.00
3,openml__ozone-level-8hr__9978,0.93,0.00,0.93,0.94
4,openml__mfeat-pixel__146824,0.87,0.00,0.87,0.98
5,openml__riccardo__168338,0.88,0.00,0.88,1.00
6,openml__isolet__3481,0.81,0.00,0.81,0.97
7,openml__mfeat-karhunen__16,0.81,0.00,0.81,0.98
8,openml__mfeat-zernike__22,0.69,0.00,0.69,0.89
9,openml__LED-display-domain-7digit__125921,0.70,0.00,0.70,0.74
10,openml__mnist_784__3573,0.87,0.00,0.87,0.98
11,openml__texture__125922,0.92,0.00,0.92,1.00
12,openml__balance-scale__11,0.79,0.00,0.79,0.99
13,openml__har__14970,0.94,0.00,0.94,0.99
14,openml__climate-model-simulation-crashes__146819,0.91,0.00,0.91,0.96
15,openml__fabert__168910,0.37,0.00,0.37,0.71
16,openml__cnae-9__9981,0.72,0.00,0.72,0.95
17,openml__CIFAR_10__167124,0.30,0.00,0.30,0.55
18,openml__hill-valley__145847,0.51,0.03,0.50,0.98
19,openml__dilbert__168909,0.80,0.04,0.79,0.99
20,openml__jasmine__168911,0.78,0.10,0.78,0.82
21,openml__jungle_chess_2pcs_raw_endgame_complete__167119,0.82,0.12,0.80,0.95
22,openml__lung-cancer__146024,0.39,0.15,0.37,0.53
23,openml__one-hundred-plants-texture__9956,0.20,0.16,0.07,0.85
24,openml__volkert__168331,0.57,0.17,0.54,0.71
25,openml__kc1__3917,0.85,0.18,0.84,0.86
26,openml__mfeat-fourier__14,0.75,0.22,0.71,0.86
27,openml__nomao__9977,0.95,0.25,0.95,0.97
28,openml__SpeedDating__146607,0.84,0.26,0.83,0.87
29,openml__GesturePhaseSegmentationProcessed__14969,0.51,0.26,0.44,0.69
30,openml__synthetic_control__3512,0.91,0.26,0.88,1.00
31,openml__pc3__3903,0.89,0.26,0.89,0.90
32,openml__kc2__3913,0.81,0.30,0.79,0.85
33,openml__ilpd__9971,0.67,0.30,0.65,0.72
34,openml__credit-g__31,0.72,0.34,0.70,0.77
35,openml__connect-4__146195,0.73,0.35,0.66,0.87
36,openml__satimage__2074,0.86,0.36,0.83,0.92
37,openml__sonar__39,0.68,0.37,0.57,0.87
38,openml__first-order-theorem-proving__9985,0.53,0.37,0.48,0.62
39,openml__gina_agnostic__3891,0.86,0.38,0.80,0.96
40,openml__Click_prediction_small__190408,0.83,0.41,0.83,0.84
41,openml__libras__360948,0.37,0.41,0.31,0.47
42,openml__profb__3561,0.66,0.42,0.61,0.73
43,openml__eye_movements__3897,0.58,0.44,0.44,0.76
44,openml__Census-Income__168340,0.95,0.45,0.95,0.96
45,openml__Bioresponse__9910,0.76,0.45,0.74,0.80
46,openml__qsar-biodeg__9957,0.84,0.45,0.80,0.88
47,openml__robert__168332,0.28,0.45,0.10,0.50
48,openml__PhishingWebsites__14952,0.95,0.46,0.93,0.97
49,openml__blood-transfusion-service-center__10101,0.77,0.46,0.75,0.79
50,openml__fertility__9984,0.80,0.47,0.73,0.88
51,openml__visualizing_environmental__3602,0.63,0.47,0.53,0.74
52,openml__higgs__146606,0.69,0.49,0.64,0.73
53,openml__vowel__3022,0.79,0.51,0.60,0.98
54,openml__yeast__145793,0.59,0.51,0.54,0.65
55,openml__artificial-characters__14964,0.64,0.51,0.32,0.95
56,openml__hepatitis__54,0.79,0.52,0.72,0.85
57,openml__wdbc__9946,0.93,0.52,0.88,0.97
58,openml__letter__6,0.75,0.53,0.50,0.97
59,openml__fl2000__3566,0.71,0.53,0.55,0.85
60,openml__ionosphere__145984,0.90,0.53,0.83,0.95
61,openml__MiceProtein__146800,0.84,0.54,0.66,1.00
62,openml__pc4__3902,0.89,0.55,0.87,0.91
63,openml__numerai28.6__167120,0.52,0.55,0.51,0.52
64,openml__pendigits__32,0.96,0.55,0.91,1.00
65,openml__fri_c3_100_5__3779,0.76,0.55,0.60,0.89
66,openml__Amazon_employee_access__34539,0.94,0.56,0.93,0.95
67,openml__dna__167140,0.92,0.56,0.86,0.96
68,openml__analcatdata_dmft__3560,0.21,0.56,0.17,0.24
69,openml__kropt__2076,0.64,0.56,0.27,0.92
70,openml__chess__3952,0.64,0.57,0.27,0.92
71,openml__ldpa__9974,0.66,0.57,0.24,0.98
72,openml__postoperative-patient-data__146210,0.67,0.57,0.57,0.75
73,openml__scene__3485,0.93,0.58,0.84,0.99
74,openml__heart-h__50,0.78,0.59,0.68,0.84
75,openml__bank-marketing__9899,0.89,0.59,0.88,0.90
76,openml__heart-c__48,0.78,0.59,0.65,0.86
77,openml__bank-marketing__14965,0.90,0.61,0.88,0.91
78,openml__electricity__219,0.85,0.62,0.69,0.94
79,openml__haberman__42,0.71,0.62,0.65,0.75
