,dataset_name,Tree Log Loss,Tree Log Loss (normalized),Min Log Loss,Max Log Loss
0,openml__mushroom__24,9.99e-16,0.00,9.99e-16,1.76e-01
1,openml__musk__3950,9.99e-16,0.00,9.99e-16,5.43e-01
2,openml__irish__3543,9.99e-16,0.00,9.99e-16,8.73e-01
3,openml__acute-inflammations__10089,9.99e-16,0.00,9.99e-16,1.77e+00
4,openml__collins__3567,1.47e-14,0.00,1.47e-14,6.31e+00
5,openml__cardiotocography__9979,3.26e-02,0.00,9.21e-15,1.49e+01
6,openml__adult-census__3953,3.46e-01,0.00,2.80e-01,2.62e+01
7,openml__adult__7592,3.44e-01,0.00,2.76e-01,2.63e+01
8,openml__Click_prediction_small__190408,4.36e-01,0.00,4.10e-01,5.82e+00
9,openml__philippine__190410,5.45e-01,0.01,4.59e-01,1.73e+01
10,openml__christine__168908,6.57e-01,0.01,5.34e-01,1.73e+01
11,openml__numerai28.6__167120,6.93e-01,0.01,6.92e-01,7.61e-01
12,openml__mfeat-morphological__18,1.08e+00,0.02,6.10e-01,2.91e+01
13,openml__madelon__9976,6.69e-01,0.02,3.72e-01,1.73e+01
14,openml__Fashion-MNIST__146825,8.16e-01,0.02,2.69e-01,3.11e+01
15,openml__sylva_agnostic__3889,6.86e-02,0.02,1.66e-02,2.75e+00
16,openml__gas-drift-different-concentrations__9987,5.29e-01,0.02,2.43e-02,2.43e+01
17,openml__gas-drift__9986,5.34e-01,0.02,2.75e-02,2.44e+01
18,openml__robert__168332,2.07e+00,0.02,1.42e+00,3.11e+01
19,openml__eeg-eye-state__14951,5.66e-01,0.02,1.29e-01,1.90e+01
20,openml__cylinder-bands__14954,8.68e-01,0.02,3.95e-01,2.00e+01
21,openml__eye_movements__3897,9.90e-01,0.03,5.68e-01,1.65e+01
22,openml__steel-plates-fault__146817,1.16e+00,0.03,5.10e-01,2.26e+01
23,openml__anneal__2867,2.86e-01,0.03,3.17e-02,8.09e+00
24,openml__ozone-level-8hr__9978,2.23e-01,0.03,1.55e-01,2.18e+00
25,openml__APSFailure__168868,3.85e-02,0.03,1.77e-02,6.25e-01
26,openml__shuttle__146212,9.87e-03,0.04,4.76e-04,2.52e-01
27,openml__kc2__3913,3.92e-01,0.04,3.70e-01,9.20e-01
28,openml__jm1__3904,4.68e-01,0.04,4.26e-01,1.46e+00
29,openml__ldpa__9974,1.22e+00,0.04,1.25e-01,2.63e+01
30,openml__eucalyptus__2079,1.54e+00,0.05,7.15e-01,1.70e+01
31,openml__car__146821,2.83e-01,0.06,4.19e-03,4.78e+00
32,openml__skin-segmentation__9965,1.66e-02,0.06,2.02e-03,2.46e-01
33,openml__connect-4__146195,7.49e-01,0.07,3.44e-01,6.09e+00
34,openml__jannis__168330,8.36e-01,0.08,6.86e-01,2.55e+00
35,openml__wall-robot-navigation__9960,1.58e-01,0.08,1.09e-02,1.81e+00
36,openml__walking-activity__9945,1.58e+00,0.08,9.22e-01,8.80e+00
37,openml__hill-valley__145847,8.63e-01,0.08,4.28e-02,9.87e+00
38,openml__nursery__9892,8.17e-02,0.10,2.56e-06,8.00e-01
39,openml__volkert__168331,1.47e+00,0.11,8.34e-01,6.68e+00
40,openml__car-evaluation__146192,4.01e-01,0.11,3.91e-03,3.61e+00
41,openml__soybean__41,9.21e-01,0.11,1.69e-01,6.91e+00
42,openml__page-blocks__30,2.26e-01,0.12,7.92e-02,1.34e+00
43,openml__autos__9,2.74e+00,0.12,6.02e-01,1.83e+01
44,openml__gina_agnostic__3891,5.33e-01,0.12,1.21e-01,3.51e+00
45,openml__credit-approval__29,3.61e-01,0.12,3.14e-01,6.98e-01
46,openml__first-order-theorem-proving__9985,1.53e+00,0.13,1.08e+00,4.63e+00
47,openml__cjs__14967,3.88e-01,0.13,9.16e-04,3.02e+00
48,openml__CIFAR_10__167124,2.04e+00,0.13,1.32e+00,6.84e+00
49,openml__pc3__3903,3.25e-01,0.16,2.61e-01,6.67e-01
50,openml__scene__3485,3.56e-01,0.16,5.12e-02,1.95e+00
51,openml__GesturePhaseSegmentationProcessed__14969,1.28e+00,0.17,8.20e-01,3.55e+00
52,openml__kropt__2076,1.57e+00,0.17,2.49e-01,7.97e+00
53,openml__chess__3952,1.57e+00,0.17,2.49e-01,7.90e+00
54,openml__sylvine__168912,2.39e-01,0.17,1.41e-01,7.04e-01
55,openml__sick__3021,9.73e-02,0.19,2.93e-02,3.92e-01
56,openml__Census-Income__168340,1.39e-01,0.19,1.09e-01,2.69e-01
57,openml__artificial-characters__14964,1.05e+00,0.19,1.48e-01,4.82e+00
58,openml__fri_c0_100_5__3620,1.76e+00,0.20,2.70e-01,7.69e+00
59,openml__blood-transfusion-service-center__10101,5.40e-01,0.21,4.76e-01,7.80e-01
60,openml__blood-transfusion-service-center__145836,5.40e-01,0.22,4.74e-01,7.80e-01
61,openml__arrhythmia__5,2.76e+00,0.22,9.32e-01,9.18e+00
62,openml__Australian__146818,4.08e-01,0.23,3.03e-01,7.56e-01
63,openml__labor__4,2.88e+00,0.23,1.13e-01,1.20e+01
64,openml__ecoli__145977,2.19e+00,0.26,4.78e-01,7.13e+00
65,openml__rabe_266__3647,1.19e+00,0.26,9.08e-02,4.31e+00
66,openml__tae__47,2.33e+00,0.26,8.97e-01,6.39e+00
67,openml__analcatdata_dmft__3560,1.85e+00,0.27,1.76e+00,2.08e+00
68,openml__hayes-roth__146063,1.29e+00,0.28,3.24e-01,3.77e+00
69,openml__colic__25,4.69e-01,0.28,3.71e-01,7.14e-01
70,openml__Bioresponse__9910,5.45e-01,0.30,4.52e-01,7.68e-01
71,openml__Amazon_employee_access__34539,2.19e-01,0.30,1.56e-01,3.64e-01
72,openml__house_16H__3686,3.67e-01,0.32,2.47e-01,6.26e-01
73,openml__fertility__9984,3.00e+00,0.32,3.76e-01,8.60e+00
74,openml__analcatdata_chlamydia__3739,2.83e+00,0.33,1.64e-01,8.30e+00
75,openml__airlines__189354,6.29e-01,0.34,6.04e-01,6.79e-01
76,openml__bank-marketing__14965,2.66e-01,0.34,1.97e-01,4.00e-01
77,openml__magic__146206,4.11e-01,0.35,2.85e-01,6.48e-01
78,openml__letter__6,1.58e+00,0.35,1.06e-01,4.35e+00
79,openml__MagicTelescope__3954,4.12e-01,0.35,2.85e-01,6.48e-01
80,openml__splice__45,3.66e-01,0.36,1.18e-01,8.17e-01
81,openml__pc1__3918,5.12e-01,0.36,1.86e-01,1.10e+00
82,openml__hepatitis__54,2.21e+00,0.39,3.72e-01,5.12e+00
83,openml__fabert__168910,1.80e+00,0.40,7.73e-01,3.30e+00
84,openml__kr-vs-kp__3,1.15e-01,0.43,1.53e-02,2.49e-01
85,openml__MiniBooNE__168335,2.50e-01,0.43,1.38e-01,3.96e-01
86,openml__cmc__23,1.04e+00,0.43,9.03e-01,1.23e+00
87,openml__bank-marketing__9899,3.10e-01,0.43,2.29e-01,4.15e-01
88,openml__primary-tumor__146032,3.53e+00,0.44,1.91e+00,5.62e+00
89,openml__fl2000__3566,6.81e+00,0.45,5.97e-01,1.44e+01
90,openml__vehicle__53,1.14e+00,0.47,3.71e-01,2.02e+00
91,openml__JapaneseVowels__3510,1.04e+00,0.47,3.42e-02,2.19e+00
92,openml__SpeedDating__146607,3.66e-01,0.47,3.01e-01,4.40e-01
93,openml__jungle_chess_2pcs_raw_endgame_complete__167119,4.65e-01,0.47,9.82e-02,8.81e-01
94,openml__Internet-Advertisements__167125,2.22e-01,0.47,9.00e-02,3.70e-01
95,openml__churn__167141,2.87e-01,0.49,1.49e-01,4.28e-01
96,openml__sonar__39,7.05e-01,0.50,3.15e-01,1.10e+00
97,openml__pc4__3902,4.47e-01,0.50,1.90e-01,7.02e-01
98,openml__monks-problems-2__146065,3.31e-01,0.51,3.10e-05,6.45e-01
99,openml__wilt__146820,1.26e-01,0.52,3.28e-02,2.11e-01
100,openml__pendigits__32,6.31e-01,0.54,2.30e-02,1.14e+00
101,openml__iris__59,1.64e+00,0.54,8.92e-02,2.94e+00
102,openml__glass__40,3.05e+00,0.57,6.45e-01,4.86e+00
103,openml__spambase__43,3.59e-01,0.57,1.34e-01,5.29e-01
104,openml__visualizing_environmental__3602,6.07e+00,0.57,5.63e-01,1.02e+01
105,openml__qsar-biodeg__9957,5.46e-01,0.58,3.17e-01,7.10e-01
106,openml__Satellite__167211,7.49e-02,0.58,1.90e-02,1.15e-01
107,openml__yeast__145793,1.16e+00,0.60,8.31e-01,1.37e+00
108,openml__elevators__3711,4.44e-01,0.60,2.39e-01,5.79e-01
109,openml__satimage__2074,6.73e-01,0.61,2.22e-01,9.67e-01
110,openml__credit-g__31,5.89e-01,0.62,4.95e-01,6.47e-01
111,openml__postoperative-patient-data__146210,4.53e+00,0.62,5.92e-01,6.90e+00
112,openml__heart-h__50,7.14e-01,0.63,3.76e-01,9.12e-01
113,openml__heart-c__48,9.39e-01,0.63,3.76e-01,1.26e+00
114,openml__segment__146822,6.01e-01,0.64,1.91e-01,8.32e-01
115,openml__higgs__146606,6.00e-01,0.66,5.24e-01,6.39e-01
116,openml__one-hundred-plants-texture__9956,4.83e+00,0.67,5.98e-01,6.95e+00
117,openml__lung-cancer__146024,1.60e+01,0.67,1.03e+00,2.34e+01
118,openml__electricity__219,4.50e-01,0.67,1.63e-01,5.88e-01
119,openml__ada_agnostic__3896,4.22e-01,0.68,3.21e-01,4.70e-01
120,openml__pollen__3735,7.05e-01,0.68,6.93e-01,7.11e-01
121,openml__guillermo__168337,5.81e-01,0.69,3.73e-01,6.73e-01
122,openml__kc1__3917,4.39e-01,0.70,3.40e-01,4.81e-01
123,openml__dna__167140,4.55e-01,0.70,1.19e-01,5.98e-01
124,openml__ilpd__9971,7.29e-01,0.71,5.12e-01,8.17e-01
125,openml__PhishingWebsites__14952,1.76e-01,0.74,7.00e-02,2.14e-01
126,openml__libras__360948,3.36e+00,0.76,1.58e+00,3.93e+00
127,openml__socmob__3797,3.74e-01,0.76,1.19e-01,4.53e-01
128,openml__visualizing_livestock__3731,3.16e+00,0.76,3.77e-01,4.01e+00
129,openml__banknote-authentication__10093,3.11e-01,0.78,8.01e-07,3.99e-01
130,openml__transplant__3748,5.31e-01,0.78,1.83e-02,6.75e-01
131,openml__breast-w__15,3.69e-01,0.79,9.55e-02,4.40e-01
132,openml__phoneme__9952,4.27e-01,0.81,2.38e-01,4.72e-01
133,openml__haberman__42,9.85e-01,0.81,5.39e-01,1.09e+00
134,openml__vowel__3022,1.96e+00,0.82,6.29e-02,2.39e+00
135,openml__MiceProtein__146800,1.15e+00,0.83,1.20e-02,1.38e+00
136,openml__colic__27,9.11e-01,0.84,3.88e-01,1.01e+00
137,openml__isolet__3481,1.71e+00,0.85,1.28e-01,1.99e+00
138,openml__tic-tac-toe__49,7.29e-01,0.87,1.06e-02,8.39e-01
139,openml__profb__3561,7.12e-01,0.87,5.16e-01,7.41e-01
140,openml__jasmine__168911,5.08e-01,0.91,4.08e-01,5.17e-01
141,openml__ionosphere__145984,1.41e+00,0.93,1.73e-01,1.50e+00
142,openml__breast-cancer__145799,1.16e+00,0.96,5.39e-01,1.19e+00
143,openml__LED-display-domain-7digit__125921,2.54e+00,1.00,8.27e-01,2.54e+00
144,openml__texture__125922,8.42e-01,1.00,2.00e-03,8.42e-01
145,openml__synthetic_control__3512,1.26e+00,1.00,4.42e-02,1.26e+00
146,openml__audiology__7,4.72e+00,1.00,9.13e-01,4.72e+00
147,openml__balance-scale__11,1.12e+00,1.00,4.91e-02,1.12e+00
148,openml__wdbc__9946,7.05e-01,1.00,8.93e-02,7.05e-01
149,openml__analcatdata_authorship__3549,9.09e-01,1.00,7.47e-03,9.09e-01
150,openml__analcatdata_boxing1__3540,3.32e+00,1.00,4.48e-01,3.32e+00
151,openml__dermatology__35,1.11e+00,1.00,5.72e-02,1.11e+00
152,openml__cnae-9__9981,1.28e+00,1.00,1.40e-01,1.28e+00
153,openml__nomao__9977,1.91e-01,1.00,7.46e-02,1.91e-01
154,openml__optdigits__28,1.29e+00,1.00,4.22e-02,1.29e+00
155,openml__mnist_784__3573,8.65e-01,1.00,7.91e-02,8.65e-01
156,openml__mfeat-zernike__22,1.93e+00,1.00,3.22e-01,1.93e+00
157,openml__har__14970,3.70e-01,1.00,2.39e-02,3.70e-01
