,dataset_name,Tree F1,Tree F1 (normalized),Min F1,Max F1
0,openml__blood-transfusion-service-center__145836,0.7901441441441441,1.0,0.754036036036036,0.7901441441441441
1,openml__musk__3950,1.0,1.0,0.8904202878557962,1.0
2,openml__collins__3567,1.0,1.0,0.3838620074538165,1.0
3,openml__visualizing_livestock__3731,0.8538461538461538,1.0,0.7769230769230769,0.8538461538461538
4,openml__irish__3543,1.0,1.0,0.6639999999999999,1.0
5,openml__acute-inflammations__10089,1.0,1.0,0.6,1.0
6,openml__mushroom__24,1.0,1.0,0.9464568980665176,1.0
7,openml__hayes-roth__146063,0.8040574417412654,1.0,0.4406830914183855,0.8040574417412654
8,openml__shuttle__146212,0.999724559172589,0.9990643759631018,0.9127290059356896,0.9998060305298608
9,openml__cardiotocography__9979,0.999059022738268,0.9986908291263225,0.2812418297326097,1.0
10,openml__wall-robot-navigation__9960,0.9952162735376292,0.9933644626772764,0.6932410760376133,0.9972334261224394
11,openml__solar-flare__2068,0.9929839478916286,0.9925550979061302,0.9906274409534676,0.9930016234478524
12,openml__skin-segmentation__9965,0.9982901938260026,0.98443422167722,0.9188025726657048,0.9995470443733944
13,openml__anneal__2867,0.9852655336729498,0.983597863471762,0.6585388620297088,0.9907139142304204
14,openml__adult__7592,0.8552679063170363,0.9726182967203684,0.2392817647833,0.8726094983976254
15,openml__adult-census__3953,0.8541508121988626,0.9725820172234176,0.2408095510029804,0.871441467215953
16,openml__gas-drift-different-concentrations__9987,0.9654588172058904,0.9648404447858672,0.1517961075489551,0.9951093351961612
17,openml__gas-drift__9986,0.9637117376164094,0.9638185499232328,0.1522758951897963,0.9941727880139106
18,openml__soybean__41,0.9211364222693604,0.9594305099972174,0.4740345489890004,0.9400421114143986
19,openml__transplant__3748,0.9846153846153848,0.9558359621451106,0.8181318681318682,0.9923076923076924
20,openml__kr-vs-kp__3,0.992801724137931,0.9555250204372708,0.9389851097178684,0.9953066222570532
21,openml__colic__25,0.8614114114114114,0.9528301886792452,0.6415165165165165,0.8722972972972973
22,openml__rabe_266__3647,0.9666666666666666,0.952380952380952,0.8,0.975
23,openml__iris__59,0.9525757575757576,0.9482328291462948,0.3305906168135269,0.9865319865319864
24,openml__cjs__14967,0.9619860576350288,0.9472930186390108,0.2787683645812597,1.0
25,openml__sylvine__168912,0.926227841739766,0.9472346565523176,0.4988315515350877,0.9500357882553606
26,openml__car__146821,0.9694059674466012,0.9326588024031376,0.5767793786747555,0.9977549677757036
27,openml__car-evaluation__146192,0.9661789576345056,0.9226952728449056,0.5767793786747555,0.998803410248182
28,openml__eucalyptus__2079,0.6233431698133427,0.9166109161545172,0.2107962758013637,0.6608748061146926
29,openml__labor__4,0.9166666666666666,0.9065420560747663,0.5933333333333334,0.95
30,openml__ecoli__145977,0.8094107026951338,0.9054990171306156,0.2543311812152327,0.8673407052220738
31,openml__house_16H__3686,0.8600771405600087,0.8987479800927911,0.5487949291561962,0.8951458732458555
32,openml__sick__3021,0.984885548678652,0.898434665770907,0.9379640155502224,0.990189886741611
33,openml__Fashion-MNIST__146825,0.811927437396962,0.8982810636069654,0.0181818181818181,0.9018090606708572
34,openml__analcatdata_chlamydia__3739,0.91,0.8947368421052625,0.74,0.93
35,openml__monks-problems-2__146065,0.9616939890710382,0.8943720334513673,0.6373497267759562,1.0
36,openml__mfeat-morphological__18,0.677993377351202,0.8919127909132344,0.2219170040356216,0.7332633800065295
37,openml__page-blocks__30,0.9669160734201276,0.8898477395889315,0.912217514469148,0.9736870856299936
38,openml__steel-plates-fault__146817,0.7307551442189373,0.8856308234770979,0.1786809309622963,0.8020492675442688
39,openml__nursery__9892,0.9892979947095168,0.8855833114276512,0.906464647561304,1.0
40,openml__sylva_agnostic__3889,0.9906219114354105,0.8847957523987019,0.9591453845262916,0.9947202918693538
41,openml__tae__47,0.5973056018056018,0.8826597991478347,0.273616369333281,0.640336630961631
42,openml__credit-approval__29,0.8521739130434783,0.8805970149253736,0.6811594202898551,0.8753623188405797
43,openml__philippine__190410,0.7410879602434268,0.8798757853191284,0.5,0.7740022674404944
44,openml__autos__9,0.7267632764061336,0.8695099588830967,0.2399587016993031,0.7998195402481116
45,openml__banknote-authentication__10093,0.9839733417962552,0.868335288749838,0.878276737543637,1.0
46,openml__colic__27,0.8315315315315315,0.8655685441020188,0.7092342342342343,0.8505255255255255
