dataset_fold_id,Accuracy__test_neural,Accuracy__test_non-neural,F1__test_neural,F1__test_non-neural,MSE__test_neural,MSE__test_non-neural,Log Loss__test_neural,Log Loss__test_non-neural,alg_name_neural,alg_name_non-neural,time__train_neural,time__train_non-neural,time__test_neural,time__test_non-neural
openml__APSFailure__168868__fold_0,0.9927631578947368,0.9952631578947368,0.9927631578947368,0.9952631578947368,,,0.019384154286629,0.016480305866838,TabTransformer,LightGBM,156.26955614800045,25.71893301199998,0.1233136910000212,0.1005817430000206
openml__APSFailure__168868__fold_1,0.9886842105263158,0.9922368421052632,0.9886842105263158,0.9922368421052632,,,0.0308059609938945,0.022713416876574,TabTransformer,XGBoost,336.44213596700047,0.9404230070000494,0.1123829930002102,0.0568846589999338
openml__APSFailure__168868__fold_2,0.9903947368421052,0.9939473684210526,0.9903947368421052,0.9939473684210526,,,0.0262376975152026,0.0200967186694319,TabTransformer,XGBoost,380.952996949,1.1831300019999844,0.1172519619999548,0.0661405969999577
openml__APSFailure__168868__fold_3,0.9923684210526316,0.9955263157894736,0.9923684210526316,0.9955263157894736,,,0.0249330133436241,0.018053083802384,TabTransformer,XGBoost,381.007163757,1.7302547489999824,0.1186030719998143,0.08269507600005
openml__APSFailure__168868__fold_4,0.9911842105263158,0.9957894736842106,0.9911842105263158,0.9957894736842106,,,0.0303890059632549,0.0135552544284511,TabTransformer,XGBoost,178.2891031609979,2.6995717500000183,0.1424112650020106,0.0858885460000351
openml__APSFailure__168868__fold_5,0.9914473684210526,0.9939473684210526,0.9914473684210526,0.9939473684210526,,,0.0262422875248661,0.019287104961225,TabTransformer,XGBoost,162.7618580269991,2.742876262999971,0.1379816990011022,0.0816128060000096
openml__APSFailure__168868__fold_6,0.993421052631579,0.9944736842105264,0.993421052631579,0.9944736842105264,,,0.0229593754701451,0.0177688227709577,TabTransformer,CatBoost,338.34831178399963,11.887782836999918,0.106339685000421,0.0328517290000718
openml__APSFailure__168868__fold_7,0.9914473684210526,0.9936842105263158,0.9914473684210526,0.9936842105263158,,,0.024565165659233,0.0171854762677454,TabTransformer,XGBoost,325.72449466000035,0.8693307770000729,0.112540903000081,0.0618880810000064
openml__APSFailure__168868__fold_8,0.9911842105263158,0.9935526315789474,0.9911842105263158,0.9935526315789474,,,0.027984359457582,0.0194740884656122,TabTransformer,CatBoost,346.71187146599914,3.049681474999943,0.1158124589983344,0.0178204200001346
openml__APSFailure__168868__fold_9,0.9907894736842106,0.9951315789473684,0.9907894736842106,0.9951315789473684,,,0.0290872268854204,0.0169583474367276,TabTransformer,XGBoost,162.22087934100273,1.9534610810000004,0.1451829959987662,0.0797622150000734
