alg_name,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean
,min,max,mean,count
CatBoost,1.0,15.0,4.273291925465839,161
XGBoost,1.0,17.0,4.601190476190476,168
LightGBM,1.0,19.0,5.539877300613497,163
NODE,1.0,16.0,6.065217391304348,138
RandomForest,1.0,18.0,6.574850299401198,167
DANet,1.0,20.0,6.618421052631579,76
rtdl_ResNet,1.0,18.0,6.655172413793103,29
rtdl_FTTransformer,2.0,12.0,6.733333333333333,15
SVM,1.0,16.0,6.7622377622377625,143
SAINT,1.0,17.0,7.288888888888889,45
DeepFM,1.0,20.0,8.752808988764045,89
rtdl_MLP,3.0,17.0,9.0,28
TabNet,1.0,21.0,9.018292682926829,164
MLP,1.0,18.0,9.251497005988025,167
STG,1.0,21.0,9.403726708074535,161
DecisionTree,1.0,20.0,9.44047619047619,168
TabTransformer,1.0,19.0,9.483333333333333,120
LinearModel,1.0,19.0,9.969696969696969,165
KNN,1.0,20.0,10.60122699386503,163
VIME,1.0,19.0,11.732919254658386,161
NAM,1.0,21.0,12.833333333333334,78
