alg_name,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean
,min,max,mean,count
CatBoost,1.0,12.0,3.9236641221374047,131
XGBoost,1.0,14.0,4.068702290076335,131
SAINT,1.0,15.0,6.0,58
LightGBM,1.0,20.0,6.446153846153846,130
DANet,1.0,20.0,7.196078431372549,102
SVM,1.0,18.0,7.231404958677686,121
rtdl_ResNet,1.0,17.0,7.684210526315789,57
rtdl_FTTransformer,1.0,18.0,8.117647058823529,34
STG,1.0,19.0,8.305343511450381,131
RandomForest,1.0,19.0,8.984615384615385,130
DeepFM,1.0,20.0,9.25925925925926,81
LinearModel,1.0,19.0,9.453846153846154,130
TabTransformer,1.0,19.0,9.787234042553191,94
NODE,1.0,19.0,9.84920634920635,126
rtdl_MLP,2.0,19.0,10.50909090909091,55
MLP,1.0,18.0,10.82442748091603,131
TabNet,1.0,20.0,10.83969465648855,131
NAM,2.0,20.0,12.368421052631579,76
VIME,2.0,19.0,12.664122137404581,131
DecisionTree,1.0,21.0,13.389312977099237,131
KNN,1.0,21.0,13.48091603053435,131
