,F1_rank_mean,F1_rank_mean,F1_rank_mean,normalized_F1__test_mean,count
,min,max,mean,mean,
alg_name,,,,,
CatBoost,1,36,8.41,0.91,163
XGBoost,1,36,9.1,0.91,171
XGBoost_default,1,39,11.15,0.89,171
rtdl_ResNet,1,37,11.27,0.85,170
CatBoost_default,1,33,11.45,0.87,163
LightGBM,1,38,11.6,0.89,164
SAINT,1,35,12.25,0.84,106
LightGBM_default,1,38,12.67,0.86,164
NODE,1,37,12.7,0.83,138
RandomForest,1,37,13.47,0.84,170
rtdl_FTTransformer,1,31,13.62,0.83,139
SVM,1,35,13.98,0.82,143
rtdl_ResNet_default,1,41,14.05,0.81,170
DANet,1,37,14.54,0.84,147
NODE_default,1,38,14.96,0.79,138
SAINT_default,1,40,15.4,0.79,97
rtdl_MLP,1,35,16.04,0.76,171
DeepFM,1,40,18.39,0.72,90
TabNet,1,41,18.5,0.76,166
RandomForest_default,1,37,18.95,0.72,170
DecisionTree,1,40,19.06,0.75,171
STG,1,38,19.48,0.72,163
MLP,1,36,19.55,0.72,170
rtdl_FTTransformer_default,1,37,19.96,0.7,139
DANet_default,1,35,19.97,0.75,146
TabTransformer,1,39,20.02,0.72,122
SVM_default,1,41,20.13,0.71,141
DeepFM_default,1,40,20.51,0.68,90
rtdl_MLP_default,1,38,20.84,0.64,171
LinearModel,1,39,21.38,0.65,167
KNN,1,40,22.01,0.68,164
TabNet_default,1,41,22.57,0.68,160
DecisionTree_default,1,39,22.91,0.62,171
KNN_default,1,40,23.74,0.65,164
TabTransformer_default,1,41,23.92,0.53,120
MLP_default,1,39,24.25,0.59,170
VIME,2,39,25.49,0.57,162
STG_default,1,41,26.54,0.51,163
NAM,1,39,28.39,0.55,80
VIME_default,2,41,31.3,0.34,155
NAM_default,1,41,31.75,0.36,79
