alg_name,dataset_name,num_hparam_samples,has_exception,timeout_excep,CUDA_memory_excep,CUDA_config_excep,allocate_memory_excep,target_type
CatBoost,openml__APSFailure__168868,30.0,,,,,,binary
DANet,openml__APSFailure__168868,0.0,True,True,False,False,False,binary
DecisionTree,openml__APSFailure__168868,30.0,,,,,,binary
DeepFM,openml__APSFailure__168868,30.0,,,,,,binary
KNN,openml__APSFailure__168868,7.0,True,True,False,False,False,binary
LightGBM,openml__APSFailure__168868,30.0,,,,,,binary
LinearModel,openml__APSFailure__168868,30.0,,,,,,binary
MLP,openml__APSFailure__168868,30.0,,,,,,binary
NAM,openml__APSFailure__168868,0.0,True,True,False,False,False,binary
NODE,openml__APSFailure__168868,0.0,True,True,False,False,False,binary
RandomForest,openml__APSFailure__168868,30.0,,,,,,binary
SAINT,openml__APSFailure__168868,0.0,True,True,False,False,False,binary
STG,openml__APSFailure__168868,2.0,True,True,False,False,False,binary
SVM,openml__APSFailure__168868,7.0,True,True,False,False,False,binary
TabNet,openml__APSFailure__168868,4.0,True,True,False,False,False,binary
TabPFNModel,openml__APSFailure__168868,0.0,True,False,False,False,False,binary
TabTransformer,openml__APSFailure__168868,12.0,,,,,,binary
VIME,openml__APSFailure__168868,1.0,True,True,False,False,False,binary
XGBoost,openml__APSFailure__168868,30.0,,,,,,binary
rtdl_FTTransformer,openml__APSFailure__168868,0.0,True,False,True,False,False,binary
rtdl_MLP,openml__APSFailure__168868,28.0,,,,,,binary
rtdl_ResNet,openml__APSFailure__168868,18.0,,,,,,binary
CatBoost,openml__Amazon_employee_access__34539,30.0,,,,,,binary
DANet,openml__Amazon_employee_access__34539,7.0,,,,,,binary
DecisionTree,openml__Amazon_employee_access__34539,30.0,,,,,,binary
DeepFM,openml__Amazon_employee_access__34539,30.0,,,,,,binary
KNN,openml__Amazon_employee_access__34539,30.0,,,,,,binary
LightGBM,openml__Amazon_employee_access__34539,30.0,,,,,,binary
LinearModel,openml__Amazon_employee_access__34539,30.0,,,,,,binary
MLP,openml__Amazon_employee_access__34539,30.0,,,,,,binary
NAM,openml__Amazon_employee_access__34539,15.0,,,,,,binary
NODE,openml__Amazon_employee_access__34539,1.0,True,True,False,False,False,binary
RandomForest,openml__Amazon_employee_access__34539,30.0,,,,,,binary
SAINT,openml__Amazon_employee_access__34539,9.0,True,True,True,False,False,binary
STG,openml__Amazon_employee_access__34539,11.0,,,,,,binary
SVM,openml__Amazon_employee_access__34539,0.0,,,,,,binary
TabNet,openml__Amazon_employee_access__34539,13.0,,,,,,binary
TabPFNModel,openml__Amazon_employee_access__34539,0.0,True,False,False,False,False,binary
TabTransformer,openml__Amazon_employee_access__34539,0.0,True,False,False,True,False,binary
VIME,openml__Amazon_employee_access__34539,30.0,,,,,,binary
XGBoost,openml__Amazon_employee_access__34539,30.0,,,,,,binary
rtdl_FTTransformer,openml__Amazon_employee_access__34539,30.0,True,False,False,False,False,binary
rtdl_MLP,openml__Amazon_employee_access__34539,30.0,,,,,,binary
rtdl_ResNet,openml__Amazon_employee_access__34539,30.0,,,,,,binary
CatBoost,openml__Australian__146818,30.0,,,,,,binary
DANet,openml__Australian__146818,30.0,,,,,,binary
DecisionTree,openml__Australian__146818,30.0,,,,,,binary
DeepFM,openml__Australian__146818,30.0,,,,,,binary
KNN,openml__Australian__146818,30.0,,,,,,binary
LightGBM,openml__Australian__146818,30.0,,,,,,binary
LinearModel,openml__Australian__146818,30.0,,,,,,binary
MLP,openml__Australian__146818,30.0,,,,,,binary
NAM,openml__Australian__146818,30.0,,,,,,binary
NODE,openml__Australian__146818,30.0,,,,,,binary
RandomForest,openml__Australian__146818,30.0,,,,,,binary
SAINT,openml__Australian__146818,16.0,True,False,True,False,False,binary
STG,openml__Australian__146818,30.0,,,,,,binary
SVM,openml__Australian__146818,30.0,,,,,,binary
TabNet,openml__Australian__146818,30.0,,,,,,binary
TabPFNModel,openml__Australian__146818,30.0,,,,,,binary
TabTransformer,openml__Australian__146818,30.0,,,,,,binary
VIME,openml__Australian__146818,30.0,,,,,,binary
XGBoost,openml__Australian__146818,30.0,,,,,,binary
rtdl_FTTransformer,openml__Australian__146818,30.0,,,,,,binary
rtdl_MLP,openml__Australian__146818,30.0,,,,,,binary
rtdl_ResNet,openml__Australian__146818,30.0,,,,,,binary
CatBoost,openml__Bioresponse__9910,30.0,,,,,,binary
DANet,openml__Bioresponse__9910,10.0,,,,,,binary
DecisionTree,openml__Bioresponse__9910,30.0,,,,,,binary
DeepFM,openml__Bioresponse__9910,30.0,,,,,,binary
KNN,openml__Bioresponse__9910,30.0,,,,,,binary
LightGBM,openml__Bioresponse__9910,30.0,,,,,,binary
LinearModel,openml__Bioresponse__9910,30.0,,,,,,binary
MLP,openml__Bioresponse__9910,30.0,,,,,,binary
NAM,openml__Bioresponse__9910,0.0,True,True,False,False,False,binary
NODE,openml__Bioresponse__9910,7.0,True,True,False,False,False,binary
RandomForest,openml__Bioresponse__9910,30.0,,,,,,binary
SAINT,openml__Bioresponse__9910,0.0,,,,,,binary
STG,openml__Bioresponse__9910,30.0,,,,,,binary
SVM,openml__Bioresponse__9910,30.0,,,,,,binary
TabNet,openml__Bioresponse__9910,30.0,,,,,,binary
TabPFNModel,openml__Bioresponse__9910,0.0,True,False,False,False,False,binary
TabTransformer,openml__Bioresponse__9910,30.0,,,,,,binary
VIME,openml__Bioresponse__9910,6.0,True,True,False,False,False,binary
XGBoost,openml__Bioresponse__9910,30.0,,,,,,binary
rtdl_FTTransformer,openml__Bioresponse__9910,0.0,True,False,True,False,False,binary
rtdl_MLP,openml__Bioresponse__9910,30.0,,,,,,binary
rtdl_ResNet,openml__Bioresponse__9910,30.0,,,,,,binary
CatBoost,openml__Census-Income__168340,30.0,True,True,False,False,False,binary
DANet,openml__Census-Income__168340,0.0,True,True,False,False,False,binary
DecisionTree,openml__Census-Income__168340,30.0,,,,,,binary
DeepFM,openml__Census-Income__168340,0.0,True,True,False,False,False,binary
KNN,openml__Census-Income__168340,3.0,True,True,False,False,False,binary
LightGBM,openml__Census-Income__168340,30.0,,,,,,binary
LinearModel,openml__Census-Income__168340,30.0,,,,,,binary
MLP,openml__Census-Income__168340,7.0,True,False,False,False,False,binary
NAM,openml__Census-Income__168340,0.0,True,True,False,False,False,binary
NODE,openml__Census-Income__168340,1.0,True,True,False,False,False,binary
RandomForest,openml__Census-Income__168340,30.0,,,,,,binary
SAINT,openml__Census-Income__168340,0.0,True,True,False,False,False,binary
STG,openml__Census-Income__168340,0.0,True,True,False,False,False,binary
SVM,openml__Census-Income__168340,0.0,True,True,False,False,False,binary
TabNet,openml__Census-Income__168340,0.0,True,True,False,False,False,binary
TabPFNModel,openml__Census-Income__168340,0.0,True,False,False,False,False,binary
TabTransformer,openml__Census-Income__168340,2.0,True,True,True,False,False,binary
VIME,openml__Census-Income__168340,0.0,True,True,False,False,False,binary
XGBoost,openml__Census-Income__168340,30.0,,,,,,binary
rtdl_FTTransformer,openml__Census-Income__168340,0.0,True,False,True,False,False,binary
rtdl_MLP,openml__Census-Income__168340,8.0,,,,,,binary
rtdl_ResNet,openml__Census-Income__168340,6.0,,,,,,binary
CatBoost,openml__Click_prediction_small__190408,30.0,,,,,,binary
DANet,openml__Click_prediction_small__190408,7.0,,,,,,binary
DecisionTree,openml__Click_prediction_small__190408,30.0,,,,,,binary
DeepFM,openml__Click_prediction_small__190408,30.0,,,,,,binary
KNN,openml__Click_prediction_small__190408,30.0,,,,,,binary
LightGBM,openml__Click_prediction_small__190408,30.0,,,,,,binary
LinearModel,openml__Click_prediction_small__190408,30.0,,,,,,binary
